OTUNumber	Isa_111214	Isa_120117	Isa_120128	Isa_120209	Isa_120216	Isa_120223	Isa_120301	Isa_120308	Isa_120320	Isa_120321	Isa_120322	Isa_120323	Isa_120329	Isa_120403	Isa_120411	Isa_120416	Isa_120419	Isa_120423	Isa_120426	Isa_120430	Isa_120503	Isa_120507	Isa_120508	Isa_120509	Isa_120510	Isa_120516	Isa_120524	Isa_120621	Isa_120706	Isa_120806	Isa_120823	Isa_120906	Isa_120918	Isa_121031	Isa_121115	Isa_121129	Isa_121206	Isa_121213	Isa_130110	Isa_130123	Isa_130130	Isa_130219	Isa_130301	Isa_130307	Isa_130315	Isa_130320	Isa_130405	Isa_130411	Isa_130419	Isa_130424	Isa_130502	Isa_130510	Isa_130515	Isa_130524	Isa_130530	Isa_130605	Isa_130612	Isa_130619	Isa_130710	Isa_130724	Isa_130807	Isa_130823	Isa_130908	Isa_131009	Isa_140121	Isa_140221	Isa_140226	Isa_140401	Isa_140410	Isa_140423	Isa_140429	Isa_140502	Isa_140507	Isa_140514	Isa_140522	Isa_140528	Isa_140604	Isa_140611	Isa_140618	Isa_140904	Isa_141009	Isa_141024
OTU104	651	98	85	186	80	182	130	243	186	127	107	142	132	110	126	76	5	0	0	0	2	0	0	0	0	0	0	0	0	12	77	0	18	19	15	68	92	166	55	35	25	55	23	10	21	53	11	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	13	17	19	42	6	23	20	0	7	0	0	0	0	0	0	0	0	0	0	36
OTU1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1041	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1042	0	2	0	0	0	0	1	9	0	4	2	2	4	3	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU1043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1044	0	0	0	0	0	5	2	4	3	2	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1045	0	0	0	0	0	0	1	0	0	3	0	1	3	4	8	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	5	7	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU1046	2	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	2	3	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1047	31	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1048	4	1	0	3	0	0	0	1	2	1	1	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	10	1	1	4	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
